카테고리,공고제목,공고대상,지원사업유형명,사업기간,접수기간,공고내용
소진공 공고조회,군포 당정 금속가공 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"군포 당정 금속가공 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 군포 당정 금속가공 인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-454-4881 / 031-454-4881 / 070-4420-2072 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,성남 상대원 식품제조 소공인특화지원센터 소공인 모집 공,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"성남 상대원 식품제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 성남 상대원 식품제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-750-2921 / 031-750-2871 / 031-750-2870 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,시흥 대야 기타기계장비 소공인특화지원센터 소공인 모집,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"시흥 대야 기타기계장비 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 시흥 대야 기타기계장비 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4170-5971 / 070-4104-6243 / 031-317-2152 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,부천 신흥 전기장비 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"부천 신흥 전기장비 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 부천 신흥 전기장비 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 032-580-7964 / 032-580-7965 / 032-580-7966 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,화성 향남 기타기계장비 소공인특화지원센터 소공인 모집,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"화성 향남 기타기계장비 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 화성 향남 기타기계장비 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4919-0048 / 070-4919-0049 / 070-4128-9079 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,용인영덕 전자부품 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"용인 영덕 전자부품 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 용인 영덕 전자부품 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-8067-5041 / 031-8067-5023 / 031-8067-5013 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,서울 광진 의류제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"서울 광진 의류제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 광진 의류제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-467-8251 / 02-467-8251 / 02-467-8251 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,서울 봉익 주얼리 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"서울 봉익 주얼리 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 봉익 주얼리 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-741-8755 / 02-766-1599 / 02-764-1710  - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,서울 장위 의류봉제 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"서울 장위 의류봉제 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 장위 의류봉제 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-919-9623 / 02-919-9624 / 02-919-9623 - 시스템 문의(오류 등) : 1644-5﻿302"
소진공 공고조회,공주 섬유제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"공주섬유제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 공주섬유제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 전문가(산학연) 협업 섬유제품 제작 지원사업(①,② 유형 중 택1)(8개사 / 최대7 00만원)(추가모집)    - ①기능성/특수원단 개발유형    - ②시제품/완제품 상품개발 유형  ∘ 가업승계 2세/3세 청년 섬유제조기업 지원사업(4개사 / 최대 700만원)(추가모집)  ∘ 온·오프라인 홍보마케팅 지원사업(8개사 / 최대 500만원)  ∘ 기술지도, 개품개발,마케팅 등 전문컨설팅 사업(14개사 / 최대 80만원-2회)  ∘ 세미나 및 기술교류회 지원사업(20개사)  □ 지원대상 : 공주시 소재 10인 미만 섬유제품 제조업(C13) 소공인  □ 신청기간 : 2025. 9. 17. (수) ~ 9. 23. (화) 16:00까지(3차 추가모집 기한)  □ 신청서류 : (필수) 사업신청서(양식 참조) 1부, 주업종 영업사실확인서 1부  ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.  □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처 확인  ※ 기타 센터 지원사업 안내 ※  ∘ 퇴직기술사(정경사,직수) 교류 및 기술전수 협업사업  ∘ 공주섬유제조 집적지 홍보 지원사업  ∘ 섬유축제 패션쇼 컨테스트 공모전  ∘ (교육) 소공인 역량강화교육(기술역량/경영역량)  ∘ (교육) 패턴 디자인 및 봉제 기능인력 양성교육 ※ 상기 사업은 공주시 자율출자금으로 운영되는 사업으로  세부 공고는 한국섬유스마트공정연구원 홈페이지(www.proi.re.kr)를 통해 별도로 확인해주시기 바랍니다.  ※ 문의처 ※ - 사업문의 : 공주섬유제조 소공인특화지원센터 041-841-9160 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,청주 중앙 인쇄 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"청주중앙인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 청주중앙인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 소공인 컨설팅(기술해우소) 지원사업(6개사 / 최대 160만원)  ∘ 홍보 콘텐츠 구축 지원사업(6개사 / 최대 400만원)  ∘ 청년, 가업승계자 협업 교류회(10개사 / 최대 200만원(상세내용 별도 확인))  ☞ 상기 3개 사업 신청기간 '25. 4. 16. (수) ~ 5. 16. (금) 까지  ∘ 인쇄 공정개선 지원사업(5개사 / 최대 400만원)  ∘ 상품화 지원사업(6개사 / 최대 400만원)  ∘ 인증 및 지적재산권 지원사업(3개사 / 최대 300만원)  ☞ 상기 3개 사업 신청기간 : '25. 4. 16. (수) ~ 5. 16. (금) 까지  ∘ 라이선스 임대 지원사업(29개사 / 최대 100만원)  ☞ 신청기간 : '25. 5. 16. (월) ~ 5. 30. (금) 까지  ∘ (교육) 공동인쇄장비 운영교육(5명)   ∘ (교육) 영상을 활용한 마케팅 특강(10명)  ∘ (교육) 폴리텍 협업교육(10명)  ☞ 교육모집 및 일정 공고문 4페이지 확인  □ 지원대상 : 집적지(청주 중앙동, 대성로, 상당로 일원) 및 인근지역 소공인   1) 상시근로자 10명 미만 사업자로 인쇄 및 기록매체 복제업을 주된 사업으로 영위하는 자   2) 집적지 인근 소공인 및 '25년 신규발굴 업체  □ 신청기간 : 사업별 하단의 지원사업 상세분야 목록확인  □ 신청서류 : (필수) 사업신청서(양식 참조) 1부, 주업종 영업사실확인서 1부  ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.  □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처로 문의  ※ 문의처 ※ - 사업문의 : 청주중앙인쇄 소공인특화지원센터 043-299-1081~1083 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대전 덕암 금속가공 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"대전덕암금속가공 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 대전덕암금속가공 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 금속가공 제품개발 지원사업(10개사 / 최대 500만원)  ∘ 협업 제품개발 지원사업(2개 클러스터 / 최대 900만원)  ∘ 소공인 인증 지원사업(7개사 / 최대 300만원)  ∘ 스마트 공정 혁신 지원사업(3개사 / 최대 500만원)  ∘ 이미지 개선 지원사업(3개사 / 최대 200만원)  ∘ 판로확대 지원사업(①,② 중 택1)    - ①종이, 전자 카탈로그 제작 지원 (3개사 / 최대 100만원)    - ②홍보영상, 홈페이지 제작 지원 (10개사 / 최대 300만원)  ∘ 기계금속 공동전시회 개최 지원사업 (5개사 / 최대 640만원)  ∘ 소공인 컨설팅 지원사업 (7개사 / 최대 160만원)  ∘ 청년가업승계 및 협업기반 조성 지원(①,② 중 택1)    -  ①청년가업승계 동아리 조성 (5명)    -  ②협업 동아리 조성 (8명)  ∘ (교육) 한국폴리텍대학 꿈드림공작소 연계교육(3D 모델링, 3D 프린팅)  □ 지원대상 : 집적지 내(대전광역시 덕암ㆍ상서ㆍ평촌동) 10인 미만 금속가공제품 제조업(C25) 소공인  □ 신청기간 : (1차) 2025. 4. 16. (수) ~ 5. 9. (금),  (2차) 2025. 5. 26. (월) ~ 6. 20. (금)    □ 신청서류 : (필수) 사업신청서(양식 참조) 1부, 주업종 영업사실확인서 1부  ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.  □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처 확인  ※ 문의처 ※ - 사업문의 : 대전덕암금속가공 소공인특화지원센터 042-935-6082 ~ 6083 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,충남 금산 인삼 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-04 ~ 2026-01-31,2025-04-04 00:00 ~ 2026-01-31 00:00,"충남금산인삼 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 충남금산인삼 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 소공인 맞춤 디자인 지원(2개사 / 최대 500만원)  □ 지원대상 : 금산군 관내 인삼식품제조가공 소공인  □ 신청기간 : 2025. 8. 28.(수) ~ 9. 9.(화) 18:00  □ 신청서류  1) (필수) 사업신청서 및 수행계획서(양식 참고) 2) (필수) 개인정보 수집·이용·제공 동의서(양식 참고) 3) (필수) 주업종 영업사실확인서 1부(양식 참고) 4) (필수) 업종 코드 조회 화면 캡처 5) 2024년 직·간접 수출 실적 증명서(실적이 있는 경우 필수 제출)  6) 기타 가점 증빙 서류(기타서류 1에 1개 파일로 압축하여 제출) ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.  □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처 확인  ※ 문의처 ※ - 사업문의 : 충남금산인삼 소공인특화지원센터 041-750-1621, 1626 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대전 오정 기타기계장비제조 소공인특화지원센터 소공인 모,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-04 ~ 2026-01-31,2025-04-04 00:00 ~ 2026-01-31 00:00,"대전오정기타기계장비제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 대전오정기타기계장비제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 협업 활성화 지원사업(3팀(팀당 3개 업체 이상 구성) / 팀당 최대 700만원)   ∘ 집적지 홈페이지 확장 지원사업(10개사, 공동지원(약 130만원))   ∘ 가업승계 청년방 운영 지원사업(10개사, 공동지원(약 140만원))   ☞ 상기 3개 사업 신청기간 '25. 4. 21. (월) ~ 5. 9. (금) 18:00까지  ∘ 컨설팅 지원사업(6개사 / 최대 160만원)  ☞ 신청기간 : '25. 4 21. (월) ~ 예산 소진 시  ∘ 공정·품질개선 지원사업(6개사 / 최대 500만원)  ∘ 성장 고도화 지원사업(15개사 / 최대 300만원)  ☞ 상기 2개 사업 신청기간 '25. 5. 12. (월) ~ 6. 20. (금) 18:00까지  ∘ 소공인 제품·기술전시회 개최 지원사업(5개사 / 공동참가(약 620만원))  ∘ 채용박람회 참가 지원사업(4개사 / 최대 250만원)  ☞ 신청기간 : '25. 8 18. (월) ~ 9. 5. (금) 18:00까지  ∘ (교육) 폴리텍대학 꿈드림 공작소 PLC교육(10명)  ☞ 신청기간 : '25. 6 2. (월) ~ 6. 27. (금) 18:00까지  □ 지원대상 : 집적지(대전광역시 오정동) 및 집적지 인근(대화동, 읍내동)지역 소공인   1) 상시근로자 10명 미만 사업자로 C25 금속가공제품제조업, C29 기타기계장비제조업을 영위하는 자   2) 단, 집적지 소공인을 우선지원하며, 인근 소공인은 30% 이내 지원  □ 신청기간 : 사업별 하단의 지원사업 상세분야 목록확인  □ 신청서류 : (필수) 사업신청서(양식 참조) 1부, 주업종 영업사실확인서 1부  ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.  □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처로 문의  ※ 문의처 ※ - 사업문의 : 대전오정기타기계장비제조 소공인특화지원센터 042-629-7728~7729 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대전 정동 인쇄 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-04 ~ 2026-01-31,2025-04-04 00:00 ~ 2026-01-31 00:00,"대전정동인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한  「지역소공인육성-소공인특화지원센터」 대전정동인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.  2025년 4월 9일 소상공인시장진흥공단 이사장  □ 사업개요  ∘ 청년X인쇄 협업 프로젝트(10개사 / 최대 480만원)   ☞ 신청기간 '25. 4. 15. (화) ~ 4. 30. (수) 17:00까지  ∘ 마케팅 활성화 지원사업(10개사 / 최대 250만원) * 추가모집 ~ 5. 16. (금) 17:00까지  ∘ 디자인 라이센스 지원사업(30개사 / 최대 100만원)  * 추가모집 중 ~ 8. 25. (월) 17:00까지  ∘ 소공인 컨설팅(기술해우소) 지원사업(14개사 / 최대 80만원)  ☞ 상기 2개 사업 신청기간 : '25. 4. 15. (화) ~ 4. 28. (월) 17:00까지  ∘ 인쇄문화 프리마켓 : 2025년 대전인쇄거리 굿즈마켓(10개사 / 최대 200만원)   ☞ 신청기간 : '25. 8. 4. (월) ~ 8. 13. (수) 17:00까지  ∘ 인쇄문화 발전포럼(별도 공지)   ∘ (교육) 스마트 기술교육(10명)  ∘ (교육) 스마트 마케팅 교육(10명)  ∘ (교육) 스마트 마케팅 교육(10명)  ☞ 교육일정 별도 공지 예정  □ 지원대상 : 집적지(대전광역시 동구 정동, 중동, 삼성동) 및 집적지와 경계를 같이하는 인근지역 소공인   1) 상시근로자 10명 미만 사업자로 인쇄 및 기록매체 복제업을 주된 사업으로 영위하는 자   2) 집적지와 경계를 같이 하는 동 / * 단, 집적지 내 소공인 우선 지원  □ 신청기간 : 사업별 하단의 지원사업 상세분야 목록확인  □ 신청서류 : (필수) 사업신청서(양식 참조) 1부, 주업종 영업사실확인서 1부  ※ 신청서류 간소화를 위해 신청 시 '마이데이터'에 동의해주시기 바랍니다. (미동의 시 추가서류 제출 필요. 자세한 사항은 모집공고문 확인) ※ 법인사업자는 국세/지방세 완납증명서를 필수 첨부해주시기 바랍니다.   □ 신청방법 : 소상공인24 신청(www.sbiz24.kr)  □ 센터별 사업 세부내용 등 관련사항은 하단 문의처로 문의  ※ 문의처 ※ - 사업문의 : 대전정동인쇄 소공인특화지원센터 042-226-5556, 5565 - 시스템 문의(오류 등) : 1644-5302"
