지역,카테고리,첨부파일 여부,공고제목,금리(%),최대한도(만원),지원대상,용도,취급기관,대출기간(년),상환방법,대출한도(만원),총대출기간(년),금리(%)(금리구분),지원대상 상세조건,소득기준,신용조건,연령대,특이사항,제공기관/취급기관,문의처,신청(가입)방법,중도상환수수료,대출부대비용,연체이자율(%),우대/가산금리 조건,기타 참고사항,관련사이트,운영기한
무관,대출상품 조회,0,긴급경영안정자금(재해피해소상공인),2,10000,소상공인,운전,소상공인시장진흥공단,5,원금균등분할상환,10000(고정금리),5(상환3/거치2),2(고정금리),자연재해·사회재난 등으로 영업에 심대한 피해를 입은 소상공인의 직·간접피해 복구비용,없음,없음,없음,-,소상공인시장진흥공단 / 소상공인시장진흥공단,중소기업통합콜센터 1357,① 개인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 및 비대면 약정 (전자약정)② 법인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 후 센터 방문 약정 (대면약정),-,-,-,-,-,https://www.ols.semas.or.kr,한도 소진시까지
충청북도,대출상품 조회,1,충북형 오프라인 소상공인 디지털 전환’ 특별보증,은행금리-3.0,"Track1 2,000Track2 5,000","Track1 소상공인Track2 소기업, 소상공인",운영,"충북신용보증재단, 대출협약은행",5,1년마다 기한연장 또는 1년거치 4년 월단위 원금균등분할상환,"Track1 2,000Track2 5,000(고정금리, 변동금리)",5,"은행금리-3.0(고정금리, 변동금리)",Track1: 디지털 전환 지원신용보증신청 접수일 현재 사업자등록 후 가동(영업) 중인 소상공인으로 다음 중 어느 하나에 해당하는 개인기업① (전자 상거래) 사업자등록증 상 업종이 전자상거래업이거나 통신판매업 신고증을 보유한 기업② (디지털 상점) 사업장에서 스마트 기술(키오스크·테이블 오더·서빙로봇) 또는 온라인 주문 시스템을 이용 중인 기업Track2: 특별 금융지원티몬·위메프 정산지연에 따른 피해사실이 확인되는 기업,없음,-,없음,-,"충북신용보증재단 / 충북신용보증재단, 대출협약은행",충북신용보증재단 043-249-5700,[비대면] 보증드림어플 또는 은행 어플로 신청 [대면] 충북신용보증재단 홈페이지 상담예약 후 내방,-,Track1 보증료율 연 0.8%Track2 보증료율 연 0.5%,-,-,-,https://www.cbsinbo.or.kr/sub.php?code=123&mode=view&no=362,한도 소진 시 까지
충청북도,대출상품 조회,1,옥천군 중·저신용 소상공인 특례보증,은행별 상이,5000,소상공인,운영,"충북신용보증재단, 대출협약은행",5,1년마다 기한연장 또는 1년거치 4년 월단위 원금균등분할상환,5000,5(상환4/거치1),은행별 상이,"신용보증 접수일 현재 옥천군 내에 주민등록 및 사업장을 두고 영업 중이며, 대표자 개인신용평점 749점 이하의 소상공인",없음,개인신용평점 749점 이하,없음,-,"충북신용보증재단 / 충북신용보증재단, 대출협약은행",충북신용보증재단 043-249-5700,[비대면] 보증드림어플 또는 은행 어플로 신청 [대면] 충북신용보증재단 홈페이지 상담예약 후 내방,-,보증료율 연 0.5%,-,없음,-,https://www.cbsinbo.or.kr/sub.php?code=123&mode=view&no=290,한도 소진 시 까지
충청북도,대출상품 조회,0,옥천군 청년창업 소상공인 성장 지원 특례보증,은행별 상이,5000,소상공인,운영,"충북신용보증재단, 대출협약은행",5,1년마다 기한연장 또는 1년거치 4년 월단위 원금균등분할상환,5000,5(상환4/거치1),은행별 상이,"신용보증 접수일 현재 옥천군 내 사업장을 두고 영업 중인 대표자 연령 만 39세 이하, 업력 7년 미만 소상공인",없음,-,만 39세 이하,-,"충북신용보증재단 / 충북신용보증재단, 대출협약은행",충북신용보증재단 043-249-5700,[비대면] 보증드림어플 또는 은행 어플로 신청 [대면] 충북신용보증재단 홈페이지 상담예약 후 내방,-,보증료율 연 0.5%,-,-,-,http://www.cbsinbo.or.kr,한도 소진 시 까지
강원특별자치도,대출상품 조회,0,취약계층 소상공인 금융지원 협약보증,-,2000,소상공인,운영,강원신용보증재단,5,원금균등분할상환,2000,5(상환4/거치1),-,강원특별자치도 내 사업자등록을 마치고 운영 중인 취약계층 소상공인(개인사업자)1. 저소득 소상공인2. 한부모가족 소상공인3. 다문화가족 소상공인4. 장애인 소상공인5. 새터민 소상공인,연간소득 3천5백만원 이하,없음,없음,-,강원신용보증재단 / 강원신용보증재단,강원신용보증재단 033-260-0001,사업장 소재 강원신용보증재단 각 지점 방문 혹은 보증드림 어플로 신청,-,보증료율 : 연 0.8%,-,-,-,https://www.gwsinbo.or.kr/,한도 소진 시까지
경상남도;울산광역시,대출상품 조회,0,"우리지역 氣-Up 서포트론(영세 소기업,소상공인)",6.27~8.97,"5,00010,000 (코로나 19 피해 소기업, 소상공인)","소기업, 소상공인",운영·시설,BNK경남은행,5,원금균등분할상환,"5,00010,000 (코로나 19 피해 소기업, 소상공인)(변동금리)",5(상환4/거치1),6.27~8.97(변동금리),신용보증신청 접수일 현재 사업자등록 후 가동(영업)중으로서 지역보증재단의 신용보증서를 발급받은 소기업ㆍ소상공인① 영세 소기업ㆍ소상공인 : CB평점구간 7구간 이상의 소기업ㆍ소상공인 등 금융소외계층② 코로나19 피해 소기업ㆍ소상공인 : CB평점구간 8구간 이상의 소기업ㆍ소상공인 중 코로나 19로 인해 피해를 입은 경우※ 보증 가능여부는 재단에서 확인 가능함.※ CB평점구간 : 재단에서 보유하고 있는 NICE CB사의 평점구간※ 금융기관 신용관리관리 대상자 등 여신 부적격자에 대하여 대출이 제한될 수 있음,없음,① 영세 소기업ㆍ소상공인 : CB평점구간 7구간 이상② 코로나19 피해 소기업ㆍ소상공인 : CB평점구간 8구간 이상,없음,-,BNK경남은행 / BNK경남은행,1588-85851600-8585,BNK경남은행 지점 문의 및 방문,대출취급 후 3년 경과시 면제대출잔여기간 1년 이상 1.6%대출잔여기간 1년 미만 및 할부상환방식일 경우 1.3%,"(1) 인지세 : 인지세법에 의해 대출약정 체결시 납부하는 세금으로 대출금액에 따라 세액이 차등 적용되며, 각 50%씩 고객과 은행이 부담합니다.(2) 신용보증서 발급 수수료(고객께서 보증재단에 납부, 고객부담)",대출금리+3.0%p (최고 연 15%),없음,-,https://www.knbank.co.kr,상시
울산광역시,대출상품 조회,0,울산광역시 중구 소상공인 경영안정자금,-,5000,소상공인,운영·시설,취급은행(7개),2,일시상환,5000,2(거치2),-,울산광역시 중구 소상공인 경영안정자금 추천을 받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr/02_sinbo/?mcode=0402060000,자금소진시까지
울산광역시,대출상품 조회,0,울산광역시 동구 소상공인 경영안정자금,-,5000,소상공인,운영·시설,취급은행(7개),2,일시상환,5000,2(거치2),-,울산광역시 동구 소상공인 경영안정자금 추천을 받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr,자금소진시까지
울산광역시,대출상품 조회,0,울산광역시 남구 소상공인 경영안정자금,-,5000,소상공인,운영·시설,취급은행(7개),2,일시상환,5000,2(거치2),-,울산광역시 남구 소상공인 경영안정자금을 추천받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr,자금소진시까지
울산광역시,대출상품 조회,0,울산광역시 북구 소상공인 경영안정자금,-,6000,소상공인,운영·시설,취급은행(7개),2,일시상환,6000,2(거치2),-,울산광역시 북구 소상공인 경영안정자금을 추천받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr,자금소진시까지
울산광역시,대출상품 조회,0,울산광역시 울주군 소상공인 경영안정자금,-,6000,소상공인,운영·시설,취급은행(7개),5,-,6000,5,-,울산광역시 울주군 소상공인 경영안정자금을 추천받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2~4년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr,자금소진시까지
울산광역시,대출상품 조회,0,울산광역시 소상공인 경영안정자금,-,8000,소상공인,운영·시설,취급은행(7개),4,-,8000,4,-,울산광역시 소상공인 경영안정자금을 추천받은 소상공인,없음,없음,없음,-,울산신용보증재단 / 취급은행(7개),울산신용보증재단 052-289-2300,기관 문의,-,보증료율 0.9% (2~4년간 보증료 일괄징수)(비율 100%),-,-,-,https://www.ulsanshinbo.co.kr,자금소진시까지
무관,대출상품 조회,0,스마트 혁신성장 소상공인 지원 특례보증,은행별 상이,보증한도 산정방법에 따라 상이,"소기업, 소상공인",운전자금,"농협은행, 신한은행, 우리은행, 하나은행, 기업은행, 국민은행, SC제일은행, 대구은행, 부산은행, 광주은행, 제주은행, 전북은행, 경남은행",~5년,"- 일시상환(1년, 최대 5년까지 1년 단위 기한연장 가능)- 분할상환(5년, 1년 거치 4년 분할상환, 월단위 원금균등분할상환)",보증한도 산정방법에 따라 상이(협약금리),~5년(상환0/거치5),은행별 상이(협약금리),"(track1 : 스마트 ) 사업자등록 후 가동(영업)중이며, 대표자 개인신용평점이 710점 이상인 소기업？소상공인으로서 다음 중 어느 하나에 해당되는 기업① 스마트 기술*을 이용하거나 보유 중인 기업 * 스마트오더,사이니지·키오스크,AI/IOT 등② 전자상거래업 영위기업(track2: 혁신성장) 사업자등록 후 가동(영업)중이며, 대표자 개인신용평점이 710점 이상인 소기업？소상공인으로서 다음 중 어느 하나에 해당되는 기업 ① 지식서비스산업 영위 사업자 ② 고용 유지 또는 창출 사업자",없음,개인신용평점이 710점 이상,없음,-,"신용보증재단중앙회 / 농협은행, 신한은행, 우리은행, 하나은행, 기업은행, 국민은행, SC제일은행, 대구은행, 부산은행, 광주은행, 제주은행, 전북은행, 경남은행",1588-7365,전국신용보증재단 및취급기관(은행) 신청,-,0.8%이내(보증료),-,없음,-,https://www.koreg.or.kr,한도 소진시까지
전라남도,대출상품 조회,0,전라남도 소상공인 창업자금,3.5,10000,소상공인,운영·시설,취급기관(10개),2,만기일시상환,10000(변동금리),2(상환0/거치2),3.5(변동금리),"전라남도 소재 창업 2년 미만의 소상공인- 업력 5년 미만의 업체로 최근 2년 이내 전남신용보증재단, 전남창조경제혁신센터, 소상공인시장진흥공단에서 창업 또는 경영개선 관련 교육(컨설팅 포함) 이수 사업자",없음,없음,없음,-,전남신용보증재단 / 취급기관(10개),전남신용보증재단 061-729-0600,전남신용보증재단 각 지점 방문,-,-,-,없음,-,https://www.jnsinbo.or.kr,자금 소진시까지
울산광역시,대출상품 조회,0,BNK부산은행 특별출연 울산광역시 소기업 소상공인 금유지원 협약보증,-,10000,"사업자, 소상공인",운영·시설,BNK부산은행,5,-,10000,5,-,울산지역 소기업 및 소상공인,없음,없음,없음,-,울산신용보증재단 / BNK부산은행,울산신용보증재단 052-289-2300,기관문의,-,보증료율 1%,-,-,보증비율 100% 전액보증,https://www.ulsanshinbo.co.kr,상시
울산광역시,대출상품 조회,0,우리은행 특별출연 울산광역시 소상공인 등 금융지원 및 동반성장을 위한 협약보증,-,10000,"사업자, 소상공인",운영·시설,우리은행,5,-,10000,5,-,울산지역 소기업 및 소상공인,없음,없음,없음,-,울산신용보증재단 / 우리은행,울산신용보증재단 052-289-2300,기관 문의,-,보증료율 1%,-,-,보증비율- 50백만원 이하 전액보증- 50백원 초과 : 90% 보증,https://www.ulsanshinbo.co.kr,상시
울산광역시,대출상품 조회,0,신한은행 특별출연 소기업 소상공인 따뜻한 금융지원 협약보증,-,5000,"사업자, 소상공인",운영·시설,신한은행,5,-,5000,5,-,울산지역 소기업 및 소상공인,없음,없음,없음,-,울산신용보증재단 / 신한은행,울산신용보증재단 052-289-2300,기관 문의,-,보증료율 1%,-,-,보증비율- 6천만원 이하 전액보증- 6천만원 초과 : 90% 보증,https://www.ulsanshinbo.co.kr,상시
경기도,대출상품 조회,0,"경기도 중소기업 육성자금(소상공인 지원_점포임차자금, 경영개선, (재)창업 등)",은행별 상이,15000,"사업자, 소상공인",운영·시설,협약체결은행,5,분할상환,15000,5(상환4/거치1),은행별 상이,"-점포임차보증금자금 : 소상공인으로서 도가 지정하는 교육기관에서 창업경영교육을 12시간 이상 이수한 자 또는 경기도 소상공인 컨설팅 2일 이상 이수한 자-창업자금 : 사업자등록 6개월 이내인 소상공인으로서 도가 지정하는 교육기관에서 창업경영교육을 12시간 이상 이수한 자 또는 경기도 소상공인 컨설팅 2일 이상 이수한 자-경영개선자금 : 사업자등록 6개월 경과한 소상공인으로서 도가 지정하는 교육기관에서 창업경영교육을 12시간 이상 이수한 자 또는 경기도 소상공인 컨설팅 2일 이상 이수한 자-재창업자금 : 경기도 소상공인 재창업지원사업을 수료한 자-대환자금 : 기존 소상공인지원자금(소상공인대환자금, 점포임차보증금자금 제외)과 그 외 일반대출을 이용 중인 도내 소상공인-e커머스 피해기업자금 : 티몬, 위메프 등에 입점하여 신청일 기준 해당 플랫폼의 판매대금 중 미정산내역을 보유한 소상공인",없음,없음,없음,-,경기신용보증재단 / 협약체결은행,"경기신용보증재단 각 영업점 1577-5900경기도시장상권진흥원 1600-8001경기도 지역금융과 031-8030-4723, 4724",경기신용보증재단 각 영업점,-,-,-,없음,-,https://www.gcgf.or.kr,자금소진시까지
충청남도,대출상품 조회,0,충청남도 소상공인자금,은행별 상이,5000,"소기업, 소상공인",운영,충남신용보증재단,"2, 5","일시상환, 균등분할상환",5000(변동금리),"2, 5(상환0, 3/거치2)",은행별 상이(변동금리),"충청남도 소재 소기업, 소상공인",없음,-,없음,-,충남신용보증재단 / 충남신용보증재단,충남신용보증재단(041-530-3800),충남신용보증재단 방문 및 상담,-,보증료율 연 0.7% 이내,-,-,저신용자 보증료율 0.2% 감면,https://www.cnsinbo.co.kr,자금소진시까지
